"Name","ID","Runtime","Sweep","dy_config.base_model.checkpoint_dir","dy_config.base_model.config_dir","dy_config.data.in_distribution.dataloader_args.dataset","dy_config.data.in_distribution.dataloader_args.dgm_args.length","dy_config.data.in_distribution.dataloader_args.dgm_args.model_loading_config.checkpoint_dir","dy_config.data.in_distribution.dataloader_args.dgm_args.model_loading_config.config_dir","dy_config.data.in_distribution.dataloader_args.dgm_args.seed","dy_config.data.in_distribution.dataloader_args.make_valid_loader","dy_config.data.in_distribution.dataloader_args.test_batch_size","dy_config.data.in_distribution.dataloader_args.train_batch_size","dy_config.data.in_distribution.dataloader_args.valid_batch_size","dy_config.data.in_distribution.pick_loader","dy_config.data.out_of_distribution.dataloader_args.dataset","dy_config.data.out_of_distribution.dataloader_args.dgm_args.length","dy_config.data.out_of_distribution.dataloader_args.dgm_args.model_loading_config.checkpoint_dir","dy_config.data.out_of_distribution.dataloader_args.dgm_args.model_loading_config.config_dir","dy_config.data.out_of_distribution.dataloader_args.dgm_args.seed","dy_config.data.out_of_distribution.dataloader_args.make_valid_loader","dy_config.data.out_of_distribution.dataloader_args.test_batch_size","dy_config.data.out_of_distribution.dataloader_args.train_batch_size","dy_config.data.out_of_distribution.dataloader_args.valid_batch_size","dy_config.data.out_of_distribution.pick_loader","dy_config.ood.bypass_visualization","dy_config.ood.histogram_limit","dy_config.ood.method","dy_config.ood.method_args.adaptive_measurement","dy_config.ood.method_args.adaptive_train_data_buffer_size","dy_config.ood.method_args.chunk_size","dy_config.ood.method_args.compression_type","dy_config.ood.method_args.correction_coeff","dy_config.ood.method_args.dimension_tolerance","dy_config.ood.method_args.encoding_model_args.chunk_size","dy_config.ood.method_args.encoding_model_args.diff_transform","dy_config.ood.method_args.encoding_model_args.use_forward_mode","dy_config.ood.method_args.encoding_model_args.use_functorch","dy_config.ood.method_args.encoding_model_args.use_vmap","dy_config.ood.method_args.encoding_model_args.verbose","dy_config.ood.method_args.encoding_model_class","dy_config.ood.method_args.evaluate_r","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.chunk_size","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.diff_transform","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.use_forward_mode","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.use_functorch","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.use_vmap","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.verbose","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_class","dy_config.ood.method_args.intrinsic_dimension_calculator_args.verbose","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.chunk_size","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.diff_transform","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.use_forward_mode","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.use_functorch","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.use_vmap","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.verbose","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_class","dy_config.ood.method_args.latent_statistics_calculator_args.verbose","dy_config.ood.method_args.latent_statistics_calculator_class","dy_config.ood.method_args.lp_norm_order","dy_config.ood.method_args.percentile","dy_config.ood.method_args.radii_n","dy_config.ood.method_args.radii_range","dy_config.ood.method_args.use_forward_mode","dy_config.ood.method_args.use_functorch","dy_config.ood.method_args.use_vmap","dy_config.ood.method_args.verbose","dy_config.ood.method_args.visualization_nrow","dy_config.ood.method_args.with_std","dy_config.ood.pick_count","dy_config.ood.samples_visualization","dy_config.ood.seed"
"celeba-small_vs_dgm-generated_test_ornament","1tq1ogkc","37","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/run_config.json","celeba-small","","","","","false","32","32","32","train","dgm-generated","1000","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/run_config.json","10","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"celeba-small_vs_dgm-generated_train_maccoboy","v3qujd3h","36","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/run_config.json","celeba-small","","","","","false","32","32","32","train","dgm-generated","1000","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_celeba-small_ricinus_y3xyffia_final/run_config.json","10","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"tiny-imagenet_vs_cifar100_test_nonsensationalistic","dnla8qes","48","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/run_config.json","tiny-imagenet","","","","","false","32","32","32","train","cifar100","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"tiny-imagenet_vs_cifar100_train_ustilaginales","nixbu1vw","97","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/run_config.json","tiny-imagenet","","","","","false","32","32","32","train","cifar100","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"tiny-imagenet_vs_tiny-imagenet_test_assidean","m1egwk2f","55","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/run_config.json","tiny-imagenet","","","","","false","32","32","32","train","tiny-imagenet","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"tiny-imagenet_vs_tiny-imagenet_train_hammerwise","0ye57r6m","223","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/run_config.json","tiny-imagenet","","","","","false","32","32","32","train","tiny-imagenet","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"tiny-imagenet_vs_cifar10_test_xeromyrum","p5sm2mhi","52","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/run_config.json","tiny-imagenet","","","","","false","32","32","32","train","cifar10","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"tiny-imagenet_vs_cifar10_train_talayot","e2muy5t5","97","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/run_config.json","tiny-imagenet","","","","","false","32","32","32","train","cifar10","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"tiny-imagenet_vs_svhn_test_rangeless","1gjggp4z","70","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/run_config.json","tiny-imagenet","","","","","false","32","32","32","train","svhn","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"tiny-imagenet_vs_svhn_train_flinthead","nhaj8p4r","128","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/run_config.json","tiny-imagenet","","","","","false","32","32","32","train","svhn","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"tiny-imagenet_vs_celeba-small_test_plateasm","tocl3le1","38","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/run_config.json","tiny-imagenet","","","","","false","32","32","32","train","celeba-small","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"tiny-imagenet_vs_celeba-small_train_ultramodernistic","v3z3rl3l","43","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/run_config.json","tiny-imagenet","","","","","false","32","32","32","train","celeba-small","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"tiny-imagenet_vs_dgm-generated_test_untransitional","cfxvuv6z","36","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/run_config.json","tiny-imagenet","","","","","false","32","32","32","train","dgm-generated","1000","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/run_config.json","10","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"tiny-imagenet_vs_dgm-generated_train_parliamentary","7ryrm1ue","36","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/run_config.json","tiny-imagenet","","","","","false","32","32","32","train","dgm-generated","1000","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_tiny-imagenet_mediofrontal_i007b0qb_final/run_config.json","10","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"cifar100_vs_cifar100_test_ambivalently","e9uniu31","54","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/run_config.json","cifar100","","","","","false","32","32","32","train","cifar100","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"cifar100_vs_cifar100_train_zinjanthropus","rrgongo2","104","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/run_config.json","cifar100","","","","","false","32","32","32","train","cifar100","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"cifar100_vs_tiny-imagenet_test_subgrades","1dpxxygj","60","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/run_config.json","cifar100","","","","","false","32","32","32","train","tiny-imagenet","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"cifar100_vs_tiny-imagenet_train_silkflower","x1ecsov5","228","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/run_config.json","cifar100","","","","","false","32","32","32","train","tiny-imagenet","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"cifar100_vs_cifar10_test_sweetlike","g2enakn3","58","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/run_config.json","cifar100","","","","","false","32","32","32","train","cifar10","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"cifar100_vs_cifar10_train_tetrafluoride","uthurh9w","101","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/run_config.json","cifar100","","","","","false","32","32","32","train","cifar10","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"cifar100_vs_svhn_test_unclimbableness","6d9k3i8j","78","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/run_config.json","cifar100","","","","","false","32","32","32","train","svhn","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"cifar100_vs_svhn_train_jumbucks","xptbkpwe","131","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/run_config.json","cifar100","","","","","false","32","32","32","train","svhn","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"cifar100_vs_celeba-small_test_vacationer","ex9gldly","39","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/run_config.json","cifar100","","","","","false","32","32","32","train","celeba-small","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"cifar100_vs_celeba-small_train_brisks","malony4q","48","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/run_config.json","cifar100","","","","","false","32","32","32","train","celeba-small","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"cifar100_vs_dgm-generated_test_viceroyalty","ibmtvcl8","39","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/run_config.json","cifar100","","","","","false","32","32","32","train","dgm-generated","1000","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/run_config.json","10","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"cifar100_vs_dgm-generated_train_otterer","oxago1sp","39","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/run_config.json","cifar100","","","","","false","32","32","32","train","dgm-generated","1000","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_cifar100_dependable_rurkoi3l_final/run_config.json","10","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"svhn_vs_cifar100_test_luxuriates","hnj6w7cr","52","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_svhn_loricae_8552bnt7_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_svhn_loricae_8552bnt7_final/run_config.json","svhn","","","","","false","32","32","32","train","cifar100","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"svhn_vs_cifar100_train_manjel","cizq9ha0","103","98yd8jqm","checkpoints-zei1ialy/AffineCouplingTransform_svhn_loricae_8552bnt7_final/checkpoints/de_nf_best_valid.pt","checkpoints-zei1ialy/AffineCouplingTransform_svhn_loricae_8552bnt7_final/run_config.json","svhn","","","","","false","32","32","32","train","cifar100","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
