"Name","ID","Sweep","Runtime","dy_config.base_model.checkpoint_dir","dy_config.base_model.config_dir","dy_config.data.in_distribution.dataloader_args.dataset","dy_config.data.in_distribution.dataloader_args.dgm_args.length","dy_config.data.in_distribution.dataloader_args.dgm_args.model_loading_config.checkpoint_dir","dy_config.data.in_distribution.dataloader_args.dgm_args.model_loading_config.config_dir","dy_config.data.in_distribution.dataloader_args.dgm_args.seed","dy_config.data.in_distribution.dataloader_args.make_valid_loader","dy_config.data.in_distribution.dataloader_args.test_batch_size","dy_config.data.in_distribution.dataloader_args.train_batch_size","dy_config.data.in_distribution.dataloader_args.valid_batch_size","dy_config.data.in_distribution.pick_loader","dy_config.data.out_of_distribution.dataloader_args.dataset","dy_config.data.out_of_distribution.dataloader_args.dgm_args.length","dy_config.data.out_of_distribution.dataloader_args.dgm_args.model_loading_config.checkpoint_dir","dy_config.data.out_of_distribution.dataloader_args.dgm_args.model_loading_config.config_dir","dy_config.data.out_of_distribution.dataloader_args.dgm_args.seed","dy_config.data.out_of_distribution.dataloader_args.make_valid_loader","dy_config.data.out_of_distribution.dataloader_args.test_batch_size","dy_config.data.out_of_distribution.dataloader_args.train_batch_size","dy_config.data.out_of_distribution.dataloader_args.valid_batch_size","dy_config.data.out_of_distribution.pick_loader","dy_config.ood.bypass_visualization","dy_config.ood.histogram_limit","dy_config.ood.method","dy_config.ood.method_args.adaptive_measurement","dy_config.ood.method_args.adaptive_train_data_buffer_size","dy_config.ood.method_args.chunk_size","dy_config.ood.method_args.compression_type","dy_config.ood.method_args.correction_coeff","dy_config.ood.method_args.dimension_tolerance","dy_config.ood.method_args.encoding_model_args.chunk_size","dy_config.ood.method_args.encoding_model_args.diff_transform","dy_config.ood.method_args.encoding_model_args.use_forward_mode","dy_config.ood.method_args.encoding_model_args.use_functorch","dy_config.ood.method_args.encoding_model_args.use_vmap","dy_config.ood.method_args.encoding_model_args.verbose","dy_config.ood.method_args.encoding_model_class","dy_config.ood.method_args.evaluate_r","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.chunk_size","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.diff_transform","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.use_forward_mode","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.use_functorch","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.use_vmap","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.verbose","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_class","dy_config.ood.method_args.intrinsic_dimension_calculator_args.verbose","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.chunk_size","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.diff_transform","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.use_forward_mode","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.use_functorch","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.use_vmap","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.verbose","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_class","dy_config.ood.method_args.latent_statistics_calculator_args.verbose","dy_config.ood.method_args.latent_statistics_calculator_class","dy_config.ood.method_args.lp_norm_order","dy_config.ood.method_args.percentile","dy_config.ood.method_args.radii_n","dy_config.ood.method_args.radii_range","dy_config.ood.method_args.use_forward_mode","dy_config.ood.method_args.use_functorch","dy_config.ood.method_args.use_vmap","dy_config.ood.method_args.verbose","dy_config.ood.method_args.visualization_nrow","dy_config.ood.method_args.with_std","dy_config.ood.pick_count","dy_config.ood.samples_visualization","dy_config.ood.seed"
"emnist_vs_dgm-generated_train_gasthauses","isgnk1up","zsrr5y3e","896","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_emnist_papillous_jr5k61wg_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_emnist_papillous_jr5k61wg_final/run_config.json","emnist","","","","","false","8","8","8","train","dgm-generated","1000","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_emnist_papillous_jr5k61wg_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_emnist_papillous_jr5k61wg_final/run_config.json","10","false","8","8","8","train","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"omniglot_vs_emnist_test_arachnid","8c8wn3av","zsrr5y3e","872","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_omniglot_polysynthetic_v816f4eg_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_omniglot_polysynthetic_v816f4eg_final/run_config.json","omniglot","","","","","false","8","8","8","train","emnist","","","","","false","8","8","8","test","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"omniglot_vs_emnist_train_unpictorialising","dsea2elh","zsrr5y3e","890","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_omniglot_polysynthetic_v816f4eg_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_omniglot_polysynthetic_v816f4eg_final/run_config.json","omniglot","","","","","false","8","8","8","train","emnist","","","","","false","8","8","8","train","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"omniglot_vs_omniglot_test_pastorlike","8q0gae73","zsrr5y3e","890","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_omniglot_polysynthetic_v816f4eg_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_omniglot_polysynthetic_v816f4eg_final/run_config.json","omniglot","","","","","false","8","8","8","train","omniglot","","","","","false","8","8","8","test","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"omniglot_vs_omniglot_train_chromatoptometer","4kq7g5ac","zsrr5y3e","870","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_omniglot_polysynthetic_v816f4eg_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_omniglot_polysynthetic_v816f4eg_final/run_config.json","omniglot","","","","","false","8","8","8","train","omniglot","","","","","false","8","8","8","train","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"omniglot_vs_fashion-mnist_test_cognosce","3n1vdj3w","zsrr5y3e","858","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_omniglot_polysynthetic_v816f4eg_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_omniglot_polysynthetic_v816f4eg_final/run_config.json","omniglot","","","","","false","8","8","8","train","fashion-mnist","","","","","false","8","8","8","test","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"omniglot_vs_fashion-mnist_train_hau","aphmtusm","zsrr5y3e","880","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_omniglot_polysynthetic_v816f4eg_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_omniglot_polysynthetic_v816f4eg_final/run_config.json","omniglot","","","","","false","8","8","8","train","fashion-mnist","","","","","false","8","8","8","train","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"omniglot_vs_mnist_test_unbrutalize","k2o8xlgr","zsrr5y3e","872","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_omniglot_polysynthetic_v816f4eg_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_omniglot_polysynthetic_v816f4eg_final/run_config.json","omniglot","","","","","false","8","8","8","train","mnist","","","","","false","8","8","8","test","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"omniglot_vs_mnist_train_claimers","hp5kbwu5","zsrr5y3e","907","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_omniglot_polysynthetic_v816f4eg_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_omniglot_polysynthetic_v816f4eg_final/run_config.json","omniglot","","","","","false","8","8","8","train","mnist","","","","","false","8","8","8","train","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"omniglot_vs_dgm-generated_test_multifariously","t6f5gt0j","zsrr5y3e","858","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_omniglot_polysynthetic_v816f4eg_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_omniglot_polysynthetic_v816f4eg_final/run_config.json","omniglot","","","","","false","8","8","8","train","dgm-generated","1000","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_omniglot_polysynthetic_v816f4eg_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_omniglot_polysynthetic_v816f4eg_final/run_config.json","10","false","8","8","8","test","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"omniglot_vs_dgm-generated_train_hygieists","mysm1pva","zsrr5y3e","843","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_omniglot_polysynthetic_v816f4eg_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_omniglot_polysynthetic_v816f4eg_final/run_config.json","omniglot","","","","","false","8","8","8","train","dgm-generated","1000","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_omniglot_polysynthetic_v816f4eg_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_omniglot_polysynthetic_v816f4eg_final/run_config.json","10","false","8","8","8","train","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"fashion-mnist_vs_emnist_test_synthroni","zl8vw6jc","zsrr5y3e","905","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/run_config.json","fashion-mnist","","","","","false","8","8","8","train","emnist","","","","","false","8","8","8","test","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"fashion-mnist_vs_emnist_train_bittersweetly","wvf14vzp","zsrr5y3e","935","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/run_config.json","fashion-mnist","","","","","false","8","8","8","train","emnist","","","","","false","8","8","8","train","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"fashion-mnist_vs_omniglot_test_durableness","j14t2dcq","zsrr5y3e","912","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/run_config.json","fashion-mnist","","","","","false","8","8","8","train","omniglot","","","","","false","8","8","8","test","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"fashion-mnist_vs_omniglot_train_overmournfulness","gynjl4d4","zsrr5y3e","872","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/run_config.json","fashion-mnist","","","","","false","8","8","8","train","omniglot","","","","","false","8","8","8","train","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"fashion-mnist_vs_fashion-mnist_test_cirsocele","63attnmf","zsrr5y3e","888","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/run_config.json","fashion-mnist","","","","","false","8","8","8","train","fashion-mnist","","","","","false","8","8","8","test","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"fashion-mnist_vs_fashion-mnist_train_dactylopteridae","ihs0t1qu","zsrr5y3e","908","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/run_config.json","fashion-mnist","","","","","false","8","8","8","train","fashion-mnist","","","","","false","8","8","8","train","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"fashion-mnist_vs_mnist_test_blitzbuggy","40suggb8","zsrr5y3e","906","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/run_config.json","fashion-mnist","","","","","false","8","8","8","train","mnist","","","","","false","8","8","8","test","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
"fashion-mnist_vs_mnist_train_whalebones","29w17467","zsrr5y3e","888","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/run_config.json","fashion-mnist","","","","","false","8","8","8","train","mnist","","","","","false","8","8","8","train","true","","ood.latent.RadiiTrend","","","","","","","","","","","","","","","","","","","","","","","1","false","true","true","false","2","ood.latent.EncodingFlow","0","ood.latent.GaussianConvolutionStatsCalculator","","","120","[-20,5]","","","","2","","true","128","","100"
